################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.3663639364137893E-02 a       255     0    17     1    15
 -6.3895582269652695E-02 a       256     0    18     1     1
  4.7413242088823644E-02 a       257     0    18     1     2
  7.6040997736751131E-02 a       258     0    18     1     3
 -1.3735088296434395E-01 a       259     0    18     1     4
 -6.0578016590686110E-02 a       260     0    18     1     5
 -1.9075948183451950E-02 a       261     0    18     1     6
  5.7027461032362392E-02 a       262     0    18     1     7
 -4.5575052628407532E-02 a       263     0    18     1     8
 -6.6450625923652584E-02 a       264     0    18     1     9
  6.0745861361182457E-02 a       265     0    18     1    10
 -1.6944027869635964E-02 a       266     0    18     1    11
  6.9700781826081068E-02 a       267     0    18     1    12
 -3.3771800284990043E-02 a       268     0    18     1    13
  8.7022469014742421E-02 a       269     0    18     1    14
 -8.9873283411361744E-04 a       270     0    18     1    15
  1.1235919500926979E-01 a       271     0    19     1     1
  2.7381424763761830E-01 a       272     0    19     1     2
  5.1906717130873005E-02 a       273     0    19     1     3
  1.8610997752624953E-01 a       274     0    19     1     4
 -1.8803506041178400E-01 a       275     0    19     1     5
 -1.1979564727288561E-01 a       276     0    19     1     6
 -9.8075675198441792E-02 a       277     0    19     1     7
  7.1337721197116261E-02 a       278     0    19     1     8
 -1.5770579711738081E-01 a       279     0    19     1     9
 -3.8876017745625424E-01 a       280     0    19     1    10
  2.6140948666843244E-01 a       281     0    19     1    11
  5.4986923388956555E-02 a       282     0    19     1    12
 -1.0030570974856914E-01 a       283     0    19     1    13
  1.5857588547744306E-01 a       284     0    19     1    14
 -7.7995386145586473E-02 a       285     0    19     1    15
  8.1313093347438303E-02 a       286     0    20     1     1
  1.1458012172998194E-02 a       287     0    20     1     2
 -1.8598612632797325E-02 a       288     0    20     1     3
  1.4593798524626203E-01 a       289     0    20     1     4
  1.5630960885825107E-01 a       290     0    20     1     5
 -5.1994402098505171E-02 a       291     0    20     1     6
 -2.1871315680793130E-01 a       292     0    20     1     7
 -1.0158245366448876E-01 a       293     0    20     1     8
 -1.6162482407472317E-01 a       294     0    20     1     9
  7.1322769114931336E-02 a       295     0    20     1    10
  1.2267490033801776E-01 a       296     0    20     1    11
 -2.0067684756634688E-01 a       297     0    20     1    12
 -1.6613830045433955E-02 a       298     0    20     1    13
 -7.5303676235349989E-02 a       299     0    20     1    14
 -1.7565751264850676E-01 a       300     0    20     1    15
  7.1540819798669553E-02 a       301     0    21     1     1
 -8.9653847030373227E-03 a       302     0    21     1     2
  1.5741678350150939E-01 a       303     0    21     1     3
  1.6637350191915570E-01 a       304     0    21     1     4
  1.5867157537588059E-01 a       305     0    21     1     5
 -1.2253176481508943E-02 a       306     0    21     1     6
 -2.2307005966911461E-03 a       307     0    21     1     7
  1.1473913490254459E-01 a       308     0    21     1     8
  5.2844008174776948E-02 a       309     0    21     1     9
 -1.0712340138965076E-01 a       310     0    21     1    10
  6.0589938375345737E-02 a       311     0    21     1    11
 -1.8219151534497952E-01 a       312     0    21     1    12
  1.2122780703066641E-01 a       313     0    21     1    13
 -1.3594073893293171E-01 a       314     0    21     1    14
