################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.5092497861528404E-02 a       165     0    11     1    15
 -9.4637328539065577E-02 a       166     0    12     1     1
  3.1266518490638540E-01 a       167     0    12     1     2
 -3.1793167521066573E-01 a       168     0    12     1     3
  2.4108306507760177E-01 a       169     0    12     1     4
  1.5407446760133334E-01 a       170     0    12     1     5
 -1.4700355760674373E+00 a       171     0    12     1     6
  3.3694409655528929E-01 a       172     0    12     1     7
  8.1893336140747375E-01 a       173     0    12     1     8
 -5.1557818997971416E-01 a       174     0    12     1     9
  8.7069671838497797E-01 a       175     0    12     1    10
  6.4160231078608720E-01 a       176     0    12     1    11
  2.5658580701067712E-01 a       177     0    12     1    12
 -5.1880530750891378E-02 a       178     0    12     1    13
 -5.3223252394667386E-01 a       179     0    12     1    14
  1.9826987300040552E-01 a       180     0    12     1    15
 -1.2177604402908604E+00 a       181     0    13     1     1
 -3.5810951069208063E-01 a       182     0    13     1     2
  3.6005962940290942E-01 a       183     0    13     1     3
 -8.5204489638360037E-01 a       184     0    13     1     4
 -3.3142107819675859E-01 a       185     0    13     1     5
  5.3233378544541399E-01 a       186     0    13     1     6
 -2.3847483657362326E-01 a       187     0    13     1     7
 -8.0946440457246394E-01 a       188     0    13     1     8
 -2.8293665518401412E-01 a       189     0    13     1     9
  4.3169908183714151E-01 a       190     0    13     1    10
  9.0148017993769791E-01 a       191     0    13     1    11
 -8.8893132846182166E-02 a       192     0    13     1    12
 -1.8484822766527056E-01 a       193     0    13     1    13
 -7.7140479168544537E-02 a       194     0    13     1    14
